"ID","worktype","composer","display title",
"mc000468","musical composition","Beethoven","String Quartet in G major, Op. 18, No. 2",
"mc000680","musical composition","Beethoven","String Quartets, Op. 18, Nos 1-6",
"mc000660","musical composition","Beethoven","Symphony No. 1 in 1 in C major, Op. 21",
"mc000661","musical composition","Beethoven","Symphony No. 2 in 2 in D major, Op. 36",
"mc000662","musical composition","Beethoven","Symphony No. 3 in Eb major, Op. 55 (""Eroica"")",
"mc000663","musical composition","Beethoven","Symphony No. 4 in Bb major, Op. 60",
"mc000664","musical composition","Beethoven","Symphony No. 5 in C minor, Op. 67",
"mc000665","musical composition","Beethoven","Symphony No. 6 in F major, Op. 68 (""Pastoral""",
"mc000666","musical composition","Beethoven","Symphony No. 7 in A major, Op. 92",
"mc000667","musical composition","Beethoven","Symphony No. 8 in F major, Op. 93",
"mc000668","musical composition","Beethoven","Symphony No. 9 in D minor, Op. 125",
"mc000463","musical composition","Beethoven","Trio in B-flat major for Clarinet or Violin, Piano and Cello, Op. 11.",
"mc000456","musical composition","Beethoven","Violin Concerto in D major, Op. 61",
"mc000451","musical composition","Beethoven","Violin Sonata in A major, Op. 30, No. 1",
"mc000454","musical composition","Beethoven","Violin Sonata in A minor, Op. 47 (""Kreutzer"")",
"mc000452","musical composition","Beethoven","Violin Sonata in C minor, Op. 30, No. 2",
"mc000450","musical composition","Beethoven","Violin Sonata in F major, Op. 24 (""Spring"")",
"mc000453","musical composition","Beethoven","Violin Sonata in G major, Op. 30, No. 3",
"mc000443","musical composition","Berlioz","Symphonie Fantastique, Op. 14",
"mc000733","musical composition","Brahms","""Die Mainacht,"" Op. 43, No. 2",
"mc000735","musical composition","Brahms","""Nachtwandler,"" Op. 86, No. 3",
"mc000734","musical composition","Brahms","""Sapphische Ode,"" Op. 94, No. 4",
"mc000462","musical composition","Brahms","""Tragic"" Overture in D minor, Op. 81",
"mc000161","musical composition","Brahms","Ballade in G minor, Op. 118, No. 3",
"mc000152","musical composition","Brahms","Capriccio in B minor, Op. 76, No. 2",
"mc000154","musical composition","Brahms","Capriccio in C major, Op. 76, No. 8",
"mc000153","musical composition","Brahms","Capriccio in C# minor, Op. 76, No. 5",
"mc000155","musical composition","Brahms","Capriccio in D minor, Op. 116, No. 1",
"mc000157","musical composition","Brahms","Capriccio in D minor, Op. 116, No. 7",
"mc000151","musical composition","Brahms","Capriccio in F# minor, Op. 76, No. 1",
"mc000156","musical composition","Brahms","Capriccio in G minor, Op. 116, No. 3",
"mc000513","musical composition","Brahms","Cello Sonata in E minor, Op. 38",
"mc000514","musical composition","Brahms","Cello Sonata in F major, Op. 99",
"mc000171","musical composition","Brahms","Concerto in A minor for Violin and Cello, Op. 102",
"mc000506","musical composition","Brahms","Ein deutsches Requiem, Op. 45",
"mc000132","musical composition","Brahms","Hungarian Dance in F major","mc000110, mc000114"
"mc000406","musical composition","Brahms","Hungarian Dance in F# minor","mc000112, mc000113"
"mc000108","musical composition","Brahms","Hungarian Dance, No. 1",
"mc000117","musical composition","Brahms","Hungarian Dance, No. 10",
"mc000118","musical composition","Brahms","Hungarian Dance, No. 11",
"mc000119","musical composition","Brahms","Hungarian Dance, No. 12",
"mc000120","musical composition","Brahms","Hungarian Dance, No. 13",
"mc000121","musical composition","Brahms","Hungarian Dance, No. 14",
"mc000122","musical composition","Brahms","Hungarian Dance, No. 15",
"mc000123","musical composition","Brahms","Hungarian Dance, No. 16",
"mc000124","musical composition","Brahms","Hungarian Dance, No. 17",
"mc000125","musical composition","Brahms","Hungarian Dance, No. 18",
"mc000126","musical composition","Brahms","Hungarian Dance, No. 19",
"mc000109","musical composition","Brahms","Hungarian Dance, No. 2",
